epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.78236,1.66522,4.17441,1.73938,0.00333,1,0.49827,0.49772,0.23682,3.27636,0.69845,0,0,0
2,9.56163,0.86972,3.87462,1.18309,0.00333,1,0.49825,0.49809,0.22705,3.26825,0.69687,1.9604e-05,1.9604e-05,1.9604e-05
3,13.5769,0.81021,4.20009,1.2351,0.00333,1,0.49832,0.4487,0.27556,3.27236,0.70195,3.8416e-05,3.8416e-05,3.8416e-05
4,16.8741,1.18583,4.20131,1.3224,0.00333,1,0.49844,0.44859,0.35536,3.27382,0.71052,5.6436e-05,5.6436e-05,5.6436e-05
5,20.3078,0.82648,3.9519,1.19457,0.00333,1,0.49844,0.44859,0.43048,3.29119,0.74419,7.3664e-05,7.3664e-05,7.3664e-05
6,24.3955,0.75679,5.17575,1.122,0.00333,1,0.49837,0.44824,0.47922,3.29062,0.77227,9.01e-05,9.01e-05,9.01e-05
7,28.1507,1.00653,4.38799,1.07988,0.00333,1,0.49834,0.44822,0.47799,3.28323,0.78547,0.000105744,0.000105744,0.000105744
8,32.2407,0.73438,4.22444,1.02983,0.00333,1,0.62,0.47253,0.58009,3.47229,0.80388,0.000120596,0.000120596,0.000120596
9,36.5436,1.48587,4.9363,1.42561,0.00333,1,0.66167,0.3324,0.65519,3.55228,0.80528,0.000134656,0.000134656,0.000134656
10,41.1418,0.7114,2.96403,0.94613,0.00333,1,0.82833,0.36575,0.76515,3.60547,0.82604,0.000147924,0.000147924,0.000147924
11,45.4297,0.80757,3.00895,1.0687,0.00333,1,0.82833,0.44033,0.82222,3.6101,0.84795,0.0001604,0.0001604,0.0001604
12,50.2868,0.81587,3.04988,0.85754,0.00333,1,0.82833,0.56342,0.89184,3.5661,0.87268,0.000172084,0.000172084,0.000172084
13,54.497,0.49058,4.29491,0.87377,0.00333,1,0.82833,0.58017,0.88622,3.48591,0.8986,0.000182976,0.000182976,0.000182976
14,58.4907,0.48923,2.31874,0.8711,0.00333,1,0.82833,0.6465,0.75957,3.4336,0.85683,0.000193076,0.000193076,0.000193076
15,63.4737,0.80125,2.08146,1.01791,0.00333,1,0.82833,0.67129,0.67814,3.36285,0.8415,0.000202384,0.000202384,0.000202384
16,67.8749,1.24829,2.3493,1.12293,0.00333,1,0.995,0.94504,0.57367,3.20617,0.80999,0.0002109,0.0002109,0.0002109
17,72.0372,1.01202,2.73126,1.28063,0.00333,1,0.995,0.84554,0.58273,3.06932,0.81769,0.000218624,0.000218624,0.000218624
18,75.6768,0.79387,2.49574,0.99611,0.00333,1,0.995,0.84554,0.58273,3.06932,0.81769,0.000225556,0.000225556,0.000225556
19,79.9596,0.73741,2.05593,1.04113,0.00333,1,0.995,0.84554,0.61385,3.05919,0.82848,0.000231696,0.000231696,0.000231696
20,84.4051,0.64298,1.76202,0.83039,0.00333,1,0.995,0.84554,0.61385,3.05919,0.82848,0.000237044,0.000237044,0.000237044
21,88.4099,0.55725,1.86222,0.89289,0.00333,1,0.995,0.79559,0.65373,3.05764,0.83686,0.0002416,0.0002416,0.0002416
22,92.4353,0.60459,1.83992,0.9048,0.00333,1,0.995,0.79559,0.65373,3.05764,0.83686,0.000245364,0.000245364,0.000245364
23,96.8334,0.5892,2.12639,0.85948,0.00333,1,0.995,0.84554,0.65321,3.09123,0.82049,0.000248336,0.000248336,0.000248336
24,101.751,0.63599,2.51102,0.86016,0.00333,1,0.995,0.84554,0.65321,3.09123,0.82049,0.000250516,0.000250516,0.000250516
25,106.826,0.46277,1.64354,0.82494,0.00333,1,0.745,0.69509,0.6369,3.07734,0.81314,0.000251904,0.000251904,0.000251904
26,112.648,0.53438,1.90725,0.76787,0.00333,1,0.745,0.69509,0.6369,3.07734,0.81314,0.0002525,0.0002525,0.0002525
27,118.496,0.85125,4.41828,0.97416,0.00333,1,0.66167,0.62842,0.59514,3.10631,0.78409,0.000252304,0.000252304,0.000252304
28,125.165,0.99101,2.45637,1.10973,0.00333,1,0.66167,0.62842,0.59514,3.10631,0.78409,0.000251316,0.000251316,0.000251316
29,131.552,0.68538,2.30186,0.91101,0.00333,1,0.57192,0.55662,0.59746,3.10633,0.77984,0.000249536,0.000249536,0.000249536
30,137.464,0.70627,3.01773,0.89391,0.00333,1,0.57192,0.55662,0.59746,3.10633,0.77984,0.000246964,0.000246964,0.000246964
31,143.427,0.5917,1.73563,0.84048,0.00333,1,0.54262,0.48364,0.58059,3.09087,0.76198,0.0002436,0.0002436,0.0002436
32,149.098,0.55104,1.44858,0.76421,0.00333,1,0.54262,0.48364,0.58059,3.09087,0.76198,0.000239444,0.000239444,0.000239444
33,154.217,0.64748,1.48087,0.94458,0.00333,1,0.52625,0.45725,0.5712,3.08902,0.75407,0.000234496,0.000234496,0.000234496
34,160.551,0.96383,2.27636,1.29319,0.00333,1,0.52625,0.45725,0.5712,3.08902,0.75407,0.000228756,0.000228756,0.000228756
35,166.616,0.63366,3.11223,0.99606,0.00333,1,0.51674,0.4608,0.60803,3.07629,0.7421,0.000222224,0.000222224,0.000222224
36,172.396,1.12312,2.56173,1.35753,0.00333,1,0.51674,0.4608,0.60803,3.07629,0.7421,0.0002149,0.0002149,0.0002149
37,177.783,0.55649,1.83262,0.78709,0.00333,1,0.52132,0.46401,0.59859,3.0463,0.73866,0.000206784,0.000206784,0.000206784
38,183.757,1.0169,2.97762,1.21092,0.00333,1,0.52132,0.46401,0.59859,3.0463,0.73866,0.000197876,0.000197876,0.000197876
39,189.196,0.55087,1.93691,0.9771,0.00333,1,0.51628,0.46048,0.58238,3.04285,0.73735,0.000188176,0.000188176,0.000188176
40,194.045,0.65842,2.05277,0.9611,0.00333,1,0.51628,0.46048,0.58238,3.04285,0.73735,0.000177684,0.000177684,0.000177684
41,199.182,0.52432,3.24623,0.95964,0.00333,1,0.51387,0.45879,0.59178,3.02877,0.74164,0.0001664,0.0001664,0.0001664
42,204.674,0.42179,2.66184,0.76676,0.00333,1,0.51387,0.45879,0.59178,3.02877,0.74164,0.000154324,0.000154324,0.000154324
43,209.858,0.58133,2.63872,0.94068,0.00333,1,0.51087,0.45824,0.57664,3.02967,0.7556,0.000141456,0.000141456,0.000141456
44,214.627,0.52489,2.71767,0.80724,0.00333,1,0.51087,0.45824,0.57664,3.02967,0.7556,0.000127796,0.000127796,0.000127796
45,219.862,0.58602,2.28037,0.85742,0.00333,1,0.51038,0.45785,0.58698,3.0249,0.74598,0.000113344,0.000113344,0.000113344
46,224.157,0.53066,2.79253,0.87837,0.00333,1,0.51038,0.45785,0.58698,3.0249,0.74598,9.81e-05,9.81e-05,9.81e-05
47,228.861,0.60095,2.57913,1.03059,0.00333,1,0.50949,0.45714,0.61387,3.00978,0.75789,8.2064e-05,8.2064e-05,8.2064e-05
48,233.371,0.46588,2.45415,0.88022,0.00333,1,0.50949,0.45714,0.61387,3.00978,0.75789,6.5236e-05,6.5236e-05,6.5236e-05
49,237.897,0.68251,2.75358,1.02713,0.00333,1,0.50971,0.45588,0.62015,3.0067,0.76242,4.7616e-05,4.7616e-05,4.7616e-05
50,242.305,0.65934,3.06739,0.83801,0.00333,1,0.50971,0.45588,0.62015,3.0067,0.76242,2.9204e-05,2.9204e-05,2.9204e-05
1,4.57146,1.5315,4.02702,1.63293,0.00222,1,0.49719,0.49681,0.23624,3.63112,0.69843,0,0,0
2,7.73086,0.97859,3.67062,1.26848,0.00222,1,0.49718,0.49705,0.20781,3.62712,0.69689,1.604e-05,1.604e-05,1.604e-05
3,10.8371,1.22946,4.11478,1.29604,0.00222,1,0.4972,0.4972,0.21428,3.62448,0.69609,2.416e-05,2.416e-05,2.416e-05
4,14.4564,1.10319,3.81748,1.25731,0.00222,1,0.49731,0.49731,0.23363,3.62263,0.70262,2.436e-05,2.436e-05,2.436e-05
5,18.2253,0.70239,3.70096,0.98941,0.00222,1,0.49735,0.49735,0.25158,3.60139,0.70681,1.664e-05,1.664e-05,1.664e-05
